filename,width,height,category,x1,y1,x2,y2
train_00_11594_01800.jpg,600,600,barge,22,16,40,87
train_00_11594_01800.jpg,600,600,barge,1,16,19,87
train_00_11594_01800.jpg,600,600,barge,163,-2,175,59
train_00_11594_01800.jpg,600,600,barge,147,-2,161,57
train_00_11594_01800.jpg,600,600,barge,131,11,143,59
train_00_11594_01800.jpg,600,600,barge,114,12,126,60
train_00_11594_01800.jpg,600,600,barge,97,13,110,70
train_00_11594_01800.jpg,600,600,barge,79,21,97,81
train_00_11594_01800.jpg,600,600,barge,8,99,186,135
train_00_11594_01800.jpg,600,600,ship_not_moving,20,174,31,215
train_00_11594_01800.jpg,600,600,barge,63,88,100,102
train_00_11594_01800.jpg,600,600,barge,102,88,121,96
train_00_11594_01800.jpg,600,600,barge,127,65,184,92
train_00_11594_01800.jpg,600,600,ship_not_moving,65,279,74,300
train_00_11594_01800.jpg,600,600,barge,37,172,58,215
train_00_11594_01800.jpg,600,600,barge,-1,169,33,274
train_00_11594_01800.jpg,600,600,barge,9,278,36,337
train_00_11594_01800.jpg,600,600,barge,75,276,93,324
train_00_11594_01800.jpg,600,600,barge,62,158,94,264
train_00_11594_01800.jpg,600,600,barge,95,244,136,322
train_00_11594_01800.jpg,600,600,ship_moving,13,379,41,396
train_00_11594_01800.jpg,600,600,barge,138,550,157,597
train_00_11594_01800.jpg,600,600,barge,114,545,134,598
train_00_11594_01800.jpg,600,600,barge,66,536,112,598
train_00_11594_01800.jpg,600,600,barge,348,439,369,525
train_00_11594_01800.jpg,600,600,barge,355,535,376,599
train_00_11594_01800.jpg,600,600,barge,333,538,351,599
train_00_11594_01800.jpg,600,600,barge,394,438,415,524
train_00_11594_01800.jpg,600,600,barge,370,438,391,524
train_00_11594_01800.jpg,600,600,ship_not_moving,403,212,426,221
train_00_11594_01800.jpg,600,600,ship_not_moving,450,69,460,99
train_00_11594_01800.jpg,600,600,ship_not_moving,440,69,448,98
train_00_11594_01800.jpg,600,600,ship_not_moving,446,33,454,62
train_00_11594_01800.jpg,600,600,ship_not_moving,436,33,443,63
train_00_11594_01800.jpg,600,600,ship_not_moving,360,130,393,145
train_00_11594_01800.jpg,600,600,ship_not_moving,447,136,458,163
train_00_11594_01800.jpg,600,600,barge,362,232,393,307
train_00_11594_01800.jpg,600,600,barge,316,238,338,310
train_00_11594_01800.jpg,600,600,barge,284,45,310,111
train_00_11594_01800.jpg,600,600,barge,254,61,277,124
train_00_11594_01800.jpg,600,600,barge,225,62,253,131
train_00_11594_01800.jpg,600,600,barge,202,-12,238,57
train_00_11594_01800.jpg,600,600,barge,310,-16,331,22
train_00_11594_01800.jpg,600,600,barge,178,-8,198,58
train_00_11594_01800.jpg,600,600,barge,313,36,335,108
train_00_11594_01800.jpg,600,600,barge,375,133,450,209
train_00_11594_01800.jpg,600,600,barge,392,140,416,196
train_00_11594_01800.jpg,600,600,barge,371,151,391,198
train_00_11594_01800.jpg,600,600,barge,347,139,369,211
train_00_11594_01800.jpg,600,600,barge,336,236,358,308
train_00_11594_01800.jpg,600,600,ship_not_moving,336,45,347,67
train_00_11594_01800.jpg,600,600,barge,204,85,227,136
train_00_11594_01800.jpg,600,600,ship_not_moving,352,79,360,110
train_00_11594_01800.jpg,600,600,ship_not_moving,338,71,351,112
train_00_11594_01800.jpg,600,600,ship_not_moving,361,72,373,111
train_00_11594_01800.jpg,600,600,barge,407,34,437,101
train_00_11594_01800.jpg,600,600,barge,401,-18,427,26
train_00_11594_01800.jpg,600,600,barge,368,-31,406,62
train_00_11594_01800.jpg,600,600,barge,360,26,376,60
train_00_11594_01800.jpg,600,600,barge,507,40,528,87
train_00_11594_01800.jpg,600,600,barge,485,41,507,88
train_00_11594_01800.jpg,600,600,barge,506,-18,528,34
train_00_11594_01800.jpg,600,600,barge,482,-19,503,36
train_00_11594_01800.jpg,600,600,barge,547,29,567,77
train_00_11594_01800.jpg,600,600,unknown,531,33,547,71
train_00_11594_01800.jpg,600,600,barge,561,8,586,82
train_00_11594_01800.jpg,600,600,barge,587,26,610,75
