filename,width,height,category,x1,y1,x2,y2
train_00_07800_02400.jpg,600,600,barge,458,506,509,530
train_00_07800_02400.jpg,600,600,barge,396,488,446,504
train_00_07800_02400.jpg,600,600,barge,393,469,444,485
train_00_07800_02400.jpg,600,600,barge,397,448,442,467
train_00_07800_02400.jpg,600,600,barge,455,489,507,505
train_00_07800_02400.jpg,600,600,barge,446,470,508,484
train_00_07800_02400.jpg,600,600,barge,446,438,513,470
train_00_07800_02400.jpg,600,600,barge,560,426,631,456
train_00_07800_02400.jpg,600,600,ship_not_moving,400,506,426,513
train_00_07800_02400.jpg,600,600,ship_not_moving,375,389,407,397
train_00_07800_02400.jpg,600,600,ship_not_moving,443,416,448,437
train_00_07800_02400.jpg,600,600,ship_not_moving,438,420,443,438
train_00_07800_02400.jpg,600,600,ship_not_moving,432,419,438,437
train_00_07800_02400.jpg,600,600,ship_not_moving,370,399,402,407
train_00_07800_02400.jpg,600,600,ship_not_moving,367,406,399,414
train_00_07800_02400.jpg,600,600,ship_not_moving,369,414,401,422
train_00_07800_02400.jpg,600,600,ship_not_moving,408,413,431,423
train_00_07800_02400.jpg,600,600,ship_not_moving,369,419,404,427
train_00_07800_02400.jpg,600,600,barge,477,392,625,436
train_00_07800_02400.jpg,600,600,barge,499,383,548,403
train_00_07800_02400.jpg,600,600,barge,384,425,433,438
train_00_07800_02400.jpg,600,600,barge,389,198,471,224
train_00_07800_02400.jpg,600,600,barge,395,180,433,195
train_00_07800_02400.jpg,600,600,barge,443,170,505,191
train_00_07800_02400.jpg,600,600,barge,474,198,535,218
